year	d	h	m
1452	20	11	52
1453	20	17	36
1454	20	23	30
1455	21	05	26
1456	20	11	15
1457	20	17	08
1458	20	22	54
1459	21	04	43
1460	20	10	40
1461	20	16	21
1462	20	22	07
1463	21	04	00
1464	20	09	48
1465	20	15	39
1466	20	21	26
1467	21	03	12
1468	20	09	06
1469	20	14	45
1470	20	20	30
1471	21	02	25
1472	20	08	12
1473	20	14	00
1474	20	19	47
1475	21	01	37
1476	20	07	35
1477	20	13	25
1478	20	19	17
1479	21	01	13
1480	20	07	02
1481	20	12	47
1482	20	18	33
1483	21	00	20
1484	20	06	09
1485	20	11	51
1486	20	17	33
1487	20	23	25
1488	20	05	17
1489	20	11	05
1490	20	16	56
1491	20	22	46
1492	20	04	37
1493	20	10	24
1494	20	16	12
1495	20	22	07
1496	20	04	00
1497	20	09	44
1498	20	15	32
1499	20	21	22
1500	21	03	15
1501	21	09	05
1502	21	14	52
1503	21	20	42
1504	21	02	32
1505	21	08	14
1506	21	13	59
1507	21	19	49
1508	21	01	35
1509	21	07	19
1510	21	13	07
1511	21	18	58
1512	21	00	58
1513	21	06	48
1514	21	12	38
1515	21	18	35
1516	21	00	22
1517	21	06	09
1518	21	11	58
1519	21	17	45
1520	20	23	37
1521	21	05	19
1522	21	11	00
1523	21	16	55
1524	20	22	43
1525	21	04	30
1526	21	10	21
1527	21	16	07
1528	20	22	01
1529	21	03	47
1530	21	09	33
1531	21	15	30
1532	20	21	18
1533	21	03	02
1534	21	08	56
1535	21	14	46
1536	20	20	44
1537	21	02	35
1538	21	08	18
1539	21	14	13
1540	20	19	57
1541	21	01	35
1542	21	07	27
1543	21	13	10
1544	20	18	59
1545	21	00	45
1546	21	06	25
1547	21	12	26
1548	20	18	19
1549	21	00	05
1550	21	06	04
1551	21	11	53
1552	20	17	44
1553	20	23	36
1554	21	05	18
1555	21	11	14
1556	20	17	02
1557	20	22	37
1558	21	04	31
1559	21	10	19
1560	20	16	08
1561	20	22	01
1562	21	03	41
1563	21	09	35
1564	20	15	25
1565	20	21	02
1566	21	02	59
1567	21	08	50
1568	20	14	36
1569	20	20	30
1570	21	02	13
1571	21	08	13
1572	20	14	11
1573	20	19	50
1574	21	01	46
1575	21	07	34
1576	20	13	16
1577	20	19	08
1578	21	00	47
1579	21	06	37
1580	20	12	27
1581	20	18	01
1582	20	23	55
1583	21	05	50
1584	20	11	38
1585	20	17	36
1586	20	23	21
1587	21	05	14
1588	20	11	10
1589	20	16	48
1590	20	22	42
1591	21	04	36
1592	20	10	17
1593	20	16	08
1594	20	21	54
1595	21	03	45
1596	20	09	43
1597	20	15	20
1598	20	21	09
1599	21	03	02
1600	20	08	41
1601	20	14	33
1602	20	20	19
1603	21	02	08
1604	20	08	02
1605	20	13	41
1606	20	19	34
1607	21	01	36
1608	20	07	23
1609	20	13	19
1610	20	19	07
1611	21	00	56
1612	20	06	49
1613	20	12	27
1614	20	18	14
1615	21	00	07
1616	20	05	45
1617	20	11	32
1618	20	17	22
1619	20	23	13
1620	20	05	09
1621	20	10	52
1622	20	16	40
1623	20	22	37
1624	20	04	21
1625	20	10	11
1626	20	16	05
1627	20	21	54
1628	20	03	45
1629	20	09	29
1630	20	15	18
1631	20	21	17
1632	20	03	03
1633	20	08	48
1634	20	14	38
1635	20	20	23
1636	20	02	11
1637	20	07	53
1638	20	13	38
1639	20	19	31
1640	20	01	15
1641	20	07	02
1642	20	12	59
1643	20	18	56
1644	20	00	50
1645	20	06	39
1646	20	12	28
1647	20	18	22
1648	20	00	08
1649	20	05	52
1650	20	11	42
1651	20	17	30
1652	19	23	13
1653	20	04	57
1654	20	10	46
1655	20	16	40
1656	19	22	29
1657	20	04	13
1658	20	10	04
1659	20	15	57
1660	19	21	44
1661	20	03	33
1662	20	09	24
1663	20	15	15
1664	19	21	04
1665	20	02	51
1666	20	08	44
1667	20	14	43
1668	19	20	29
1669	20	02	13
1670	20	08	02
1671	20	13	48
1672	19	19	33
1673	20	01	18
1674	20	07	03
1675	20	12	56
1676	19	18	40
1677	20	00	26
1678	20	06	24
1679	20	12	17
1680	19	18	10
1681	20	00	00
1682	20	05	48
1683	20	11	46
1684	19	17	32
1685	19	23	15
1686	20	05	07
1687	20	10	51
1688	19	16	36
1689	19	22	24
1690	20	04	12
1691	20	10	11
1692	19	15	56
1693	19	21	37
1694	20	03	30
1695	20	09	17
1696	19	15	03
1697	19	20	55
1698	20	02	41
1699	20	08	38
1700	20	14	26
1701	20	20	10
1702	21	02	12
1703	21	08	04
1704	20	13	49
1705	20	19	42
1706	21	01	24
1707	21	07	18
1708	20	13	04
1709	20	18	41
1710	21	00	34
1711	21	06	19
1712	20	11	59
1713	20	17	54
1714	20	23	44
1715	21	05	43
1716	20	11	35
1717	20	17	15
1718	20	23	13
1719	21	05	03
1720	20	10	46
1721	20	16	41
1722	20	22	26
1723	21	04	17
1724	20	10	08
1725	20	15	47
1726	20	21	46
1727	21	03	38
1728	20	09	15
1729	20	15	07
1730	20	20	52
1731	21	02	41
1732	20	08	33
1733	20	14	11
1734	20	20	05
1735	21	01	59
1736	20	07	38
1737	20	13	39
1738	20	19	33
1739	21	01	27
1740	20	07	23
1741	20	13	01
1742	20	18	54
1743	21	00	46
1744	20	06	21
1745	20	12	13
1746	20	17	58
1747	20	23	41
1748	20	05	33
1749	20	11	15
1750	20	17	11
1751	20	23	08
1752	20	04	47
1753	20	10	40
1754	20	16	33
1755	20	22	22
1756	20	04	17
1757	20	10	00
1758	20	15	51
1759	20	21	46
1760	20	03	24
1761	20	09	19
1762	20	15	15
1763	20	21	00
1764	20	02	50
1765	20	08	30
1766	20	14	16
1767	20	20	11
1768	20	01	47
1769	20	07	37
1770	20	13	30
1771	20	19	15
1772	20	01	10
1773	20	07	01
1774	20	12	56
1775	20	18	56
1776	20	00	36
1777	20	06	26
1778	20	12	21
1779	20	18	05
1780	19	23	53
1781	20	05	37
1782	20	11	22
1783	20	17	12
1784	19	22	53
1785	20	04	42
1786	20	10	41
1787	20	16	28
1788	19	22	16
1789	20	04	04
1790	20	09	54
1791	20	15	48
1792	19	21	32
1793	20	03	20
1794	20	09	16
1795	20	15	04
1796	19	20	53
1797	20	02	47
1798	20	08	38
1799	20	14	30
1800	20	20	11
1801	21	01	55
1802	21	07	48
1803	21	13	33
1804	20	19	17
1805	21	01	04
1806	21	06	52
1807	21	12	41
1808	20	18	29
1809	21	00	21
1810	21	06	20
1811	21	12	13
1812	20	17	59
1813	20	23	49
1814	21	05	42
1815	21	11	30
1816	20	17	15
1817	20	23	00
1818	21	04	49
1819	21	10	38
1820	20	16	23
1821	20	22	15
1822	21	04	09
1823	21	09	54
1824	20	15	38
1825	20	21	25
1826	21	03	16
1827	21	09	08
1828	20	14	53
1829	20	20	42
1830	21	02	36
1831	21	08	26
1832	20	14	16
1833	20	20	11
1834	21	02	04
1835	21	07	55
1836	20	13	39
1837	20	19	23
1838	21	01	17
1839	21	06	59
1840	20	12	40
1841	20	18	28
1842	21	00	13
1843	21	06	04
1844	20	11	53
1845	20	17	43
1846	20	23	45
1847	21	05	32
1848	20	11	17
1849	20	17	12
1850	20	23	02
1851	21	04	54
1852	20	10	41
1853	20	16	24
1854	20	22	19
1855	21	04	05
1856	20	09	49
1857	20	15	45
1858	20	21	31
1859	21	03	18
1860	20	09	04
1861	20	14	46
1862	20	20	42
1863	21	02	30
1864	20	08	10
1865	20	14	06
1866	20	19	54
1867	21	01	46
1868	20	07	43
1869	20	13	32
1870	20	19	32
1871	21	01	20
1872	20	06	57
1873	20	12	52
1874	20	18	38
1875	21	00	21
1876	20	06	10
1877	20	11	48
1878	20	17	42
1879	20	23	32
1880	20	05	13
1881	20	11	14
1882	20	17	04
1883	20	22	50
1884	20	04	44
1885	20	10	29
1886	20	16	26
1887	20	22	18
1888	20	03	56
1889	20	09	51
1890	20	15	41
1891	20	21	25
1892	20	03	22
1893	20	09	08
1894	20	14	59
1895	20	20	49
1896	20	02	23
1897	20	08	16
1898	20	14	06
1899	20	19	46
1900	21	01	39
1901	21	07	23
1902	21	13	16
1903	21	19	15
1904	21	00	58
1905	21	06	57
1906	21	12	53
1907	21	18	33
1908	21	00	27
1909	21	06	13
1910	21	12	03
1911	21	17	54
1912	20	23	29
1913	21	05	18
1914	21	11	11
1915	21	16	51
1916	20	22	47
1917	21	04	37
1918	21	10	26
1919	21	16	19
1920	20	21	59
1921	21	03	51
1922	21	09	49
1923	21	15	29
1924	20	21	20
1925	21	03	12
1926	21	09	01
1927	21	14	59
1928	20	20	44
1929	21	02	35
1930	21	08	30
1931	21	14	06
1932	20	19	54
1933	21	01	43
1934	21	07	28
1935	21	13	18
1936	20	18	58
1937	21	00	45
1938	21	06	43
1939	21	12	28
1940	20	18	24
1941	21	00	20
1942	21	06	11
1943	21	12	03
1944	20	17	49
1945	20	23	37
1946	21	05	33
1947	21	11	13
1948	20	16	57
1949	20	22	48
1950	21	04	35
1951	21	10	26
1952	20	16	14
1953	20	22	01
1954	21	03	53
1955	21	09	35
1956	20	15	20
1957	20	21	16
1958	21	03	06
1959	21	08	55
1960	20	14	43
1961	20	20	32
1962	21	02	30
1963	21	08	20
1964	20	14	10
1965	20	20	05
1966	21	01	53
1967	21	07	37
1968	20	13	22
1969	20	19	08
1970	21	00	56
1971	21	06	38
1972	20	12	22
1973	20	18	13
1974	21	00	07
1975	21	05	57
1976	20	11	50
1977	20	17	42
1978	20	23	34
1979	21	05	22
1980	20	11	10
1981	20	17	03
1982	20	22	56
1983	21	04	39
1984	20	10	24
1985	20	16	14
1986	20	22	03
1987	21	03	52
1988	20	09	39
1989	20	15	28
1990	20	21	19
1991	21	03	02
1992	20	08	48
1993	20	14	41
1994	20	20	28
1995	21	02	15
1996	20	08	03
1997	20	13	55
1998	20	19	55
1999	21	01	46
2000	20	07	35
2001	20	13	31
2002	20	19	16
2003	21	01	00
2004	20	06	49
2005	20	12	33
2006	20	18	26
2007	21	00	07
2008	20	05	48
2009	20	11	44
2010	20	17	32
2011	20	23	21
2012	20	05	14
2013	20	11	02
2014	20	16	57
2015	20	22	45
2016	20	04	30
2017	20	10	28
2018	20	16	15
2019	20	21	58
2020	20	03	49
2021	20	09	37
2022	20	15	33
2023	20	21	24
2024	20	03	06
2025	20	09	01
2026	20	14	45
2027	20	20	24
2028	20	02	16
2029	20	08	01
2030	20	13	51
2031	20	19	40
2032	20	01	21
2033	20	07	22
2034	20	13	17
2035	20	19	02
2036	20	01	02
2037	20	06	49
2038	20	12	40
2039	20	18	31
2040	20	00	11
2041	20	06	06
2042	20	11	52
2043	20	17	27
2044	19	23	19
2045	20	05	07
2046	20	10	57
2047	20	16	52
2048	19	22	33
2049	20	04	27
2050	20	10	18
2051	20	15	58
2052	19	21	55
2053	20	03	46
2054	20	09	33
2055	20	15	27
2056	19	21	10
2057	20	03	07
2058	20	09	04
2059	20	14	43
2060	19	20	37
2061	20	02	25
2062	20	08	06
2063	20	13	58
2064	19	19	37
2065	20	01	27
2066	20	07	19
2067	20	12	52
2068	19	18	48
2069	20	00	44
2070	20	06	34
2071	20	12	33
2072	19	18	20
2073	20	00	12
2074	20	06	08
2075	20	11	45
2076	19	17	37
2077	19	23	30
2078	20	05	09
2079	20	10	59
2080	19	16	43
2081	19	22	33
2082	20	04	29
2083	20	10	09
2084	19	15	58
2085	19	21	52
2086	20	03	34
2087	20	09	27
2088	19	15	16
2089	19	21	05
2090	20	03	01
2091	20	08	41
2092	19	14	32
2093	19	20	33
2094	20	02	20
2095	20	08	14
2096	19	14	02
2097	19	19	47
2098	20	01	39
2099	20	07	17
2100	20	13	03
2101	20	18	55
2102	21	00	35
2103	21	06	22
2104	20	12	13
2105	20	18	05
2106	21	00	03
2107	21	05	49
2108	20	11	38
2109	20	17	35
2110	20	23	21
2111	21	05	10
2112	20	11	02
2113	20	16	50
2114	20	22	38
2115	21	04	21
2116	20	10	08
2117	20	16	05
2118	20	21	52
2119	21	03	38
2120	20	09	28
2121	20	15	15
2122	20	21	03
2123	21	02	48
2124	20	08	34
2125	20	14	28
2126	20	20	14
2127	21	02	02
2128	20	07	57
2129	20	13	54
2130	20	19	48
2131	21	01	36
2132	20	07	23
2133	20	13	14
2134	20	19	00
2135	21	00	44
2136	20	06	32
2137	20	12	20
2138	20	18	03
2139	20	23	47
2140	20	05	36
2141	20	11	31
2142	20	17	23
2143	20	23	10
2144	20	05	00
2145	20	10	56
2146	20	16	42
2147	20	22	31
2148	20	04	22
2149	20	10	12
2150	20	16	01
2151	20	21	46
2152	20	03	37
2153	20	09	35
2154	20	15	21
2155	20	21	04
2156	20	02	52
2157	20	08	38
2158	20	14	25
2159	20	20	10
2160	20	01	56
2161	20	07	50
2162	20	13	36
2163	20	19	22
2164	20	01	21
2165	20	07	15
2166	20	13	08
2167	20	18	59
2168	20	00	45
2169	20	06	42
2170	20	12	27
2171	20	18	08
2172	20	00	00
2173	20	05	43
2174	20	11	26
2175	20	17	15
2176	19	23	01
2177	20	05	01
2178	20	10	48
2179	20	16	30
2180	19	22	26
2181	20	04	14
2182	20	10	02
2183	20	15	55
2184	19	21	41
2185	20	03	38
2186	20	09	26
2187	20	15	08
2188	19	21	08
2189	20	02	59
2190	20	08	43
2191	20	14	34
2192	19	20	15
2193	20	02	06
2194	20	07	54
2195	20	13	31
2196	19	19	26
2197	20	01	12
2198	20	06	53
2199	20	12	50
2200	20	18	40
2201	21	00	40
2202	21	06	36
2203	21	12	15
2204	20	18	13
2205	21	00	04
2206	21	05	44
2207	21	11	38
2208	20	17	20
2209	20	23	10
2210	21	04	59
2211	21	10	38
2188	19	21	08
2189	20	02	59
2190	20	08	43
2191	20	14	34
2192	19	20	15
2193	20	02	06
2194	20	07	54
2195	20	13	31
2196	19	19	26
2197	20	01	12
2198	20	06	53
2199	20	12	50
2200	20	18	40
2201	21	00	40
2202	21	06	36
2203	21	12	15
2204	20	18	13
2205	21	00	04
2206	21	05	44
2207	21	11	38
2208	20	17	20
2209	20	23	10
2210	21	04	59
2211	21	10	38
2212	20	16	36
2213	20	22	29
2214	21	04	08
2215	21	10	01
2216	20	15	46
2217	20	21	37
2218	21	03	31
2219	21	09	11
2220	20	15	06
2221	20	21	00
2222	21	02	39
2223	21	08	37
2224	20	14	31
2225	20	20	22
2226	21	02	17
2227	21	07	55
2228	20	13	45
2229	20	19	38
2230	21	01	13
2231	21	07	04
2232	20	12	50
2233	20	18	34
2234	21	00	27
2235	21	06	10
2236	20	12	07
2237	20	18	07
2238	20	23	47
2239	21	05	41
2240	20	11	33
2241	20	17	22
2242	20	23	17
2243	21	04	59
2244	20	10	48
2245	20	16	41
2246	20	22	18
2247	21	04	11
2248	20	10	06
2249	20	15	52
2250	20	21	42
2251	21	03	23
2252	20	09	10
2253	20	15	05
2254	20	20	44
2255	21	02	33
2256	20	08	29
2257	20	14	14
2258	20	20	09
2259	21	02	00
2260	20	07	55
2261	20	13	54
2262	20	19	35
2263	21	01	22
2264	20	07	16
2265	20	12	59
2266	20	18	47
2267	21	00	30
2268	20	06	14
2269	20	12	05
2270	20	17	46
2271	20	23	36
2272	20	05	34
2273	20	11	25
2274	20	17	14
2275	20	23	04
2276	20	04	54
2277	20	10	49
2278	20	16	34
2279	20	22	20
2280	20	04	14
2281	20	10	01
2282	20	15	49
2283	20	21	41
2284	20	03	32
2285	20	09	22
2286	20	15	03
2287	20	20	46
2288	20	02	39
2289	20	08	26
2290	20	14	11
2291	20	20	00
2292	20	01	49
2293	20	07	40
2294	20	13	29
2295	20	19	22
2296	20	01	21
2297	20	07	14
2298	20	13	00
2299	20	18	49
2300	21	00	40
2301	21	06	26
2302	21	12	10
2303	21	17	54
2304	20	23	40
2305	21	05	30
2306	21	11	14
2307	21	17	06
2308	20	23	02
2309	21	04	49
2310	21	10	35
2311	21	16	24
2312	20	22	15
2313	21	04	09
2314	21	09	55
2315	21	15	43
2316	20	21	38
2317	21	03	24
2318	21	09	13
2319	21	15	06
2320	20	20	57
2321	21	02	48
2322	21	08	31
2323	21	14	14
2324	20	20	08
2325	21	01	52
2326	21	07	34
2327	21	13	23
2328	20	19	09
2329	21	01	02
2330	21	06	53
2331	21	12	44
2332	20	18	46
2333	21	00	34
2334	21	06	18
2335	21	12	13
2336	20	18	00
2337	20	23	51
2338	21	05	37
2339	21	11	17
2340	20	17	12
2341	20	22	57
2342	21	04	39
2343	21	10	36
2344	20	16	23
2345	20	22	12
2346	21	04	00
2347	21	09	42
2348	20	15	41
2349	20	21	29
2350	21	03	10
2351	21	09	06
2352	20	14	55
2353	20	20	46
2354	21	02	42
2355	21	08	30
2356	20	14	28
2357	20	20	16
2358	21	01	52
2359	21	07	45
2360	20	13	31
2361	20	19	14
2362	21	01	04
2363	21	06	42
2364	20	12	36
2365	20	18	27
2366	21	00	09
2367	21	06	11
2368	20	12	03
2369	20	17	50
2370	20	23	45
2371	21	05	30
2372	20	11	26
2373	20	17	18
2374	20	22	54
2375	21	04	47
2376	20	10	35
2377	20	16	18
2378	20	22	14
2379	21	04	00
2380	20	09	51
2381	20	15	42
2382	20	21	17
2383	21	03	10
2384	20	09	02
2385	20	14	43
2386	20	20	38
2387	21	02	24
2388	20	08	18
2389	20	14	16
2390	20	20	00
2391	21	01	58
2392	20	07	53
2393	20	13	31
2394	20	19	24
2395	21	01	09
2396	20	06	56
2397	20	12	47
2398	20	18	21
2399	21	00	10
2400	20	06	02
2401	20	11	44
2402	20	17	41
2403	20	23	33
2404	20	05	24
2405	20	11	19
2406	20	17	01
2407	20	22	53
2408	20	04	50
2409	20	10	31
2410	20	16	21
2411	20	22	11
2412	20	03	58
2413	20	09	53
2414	20	15	38
2415	20	21	27
2416	20	03	22
2417	20	08	59
2418	20	14	46
2419	20	20	37
2420	20	02	23
2421	20	08	15
2422	20	13	57
2423	20	19	45
2424	20	01	43
2425	20	07	30
2426	20	13	25
2427	20	19	22
2428	20	01	11
2429	20	07	02
2430	20	12	45
2431	20	18	33
2432	20	00	26
2433	20	06	06
2434	20	11	50
2435	20	17	40
2436	19	23	27
2437	20	05	18
2438	20	11	07
2439	20	16	56
2440	19	22	50
2441	20	04	35
2442	20	10	22
2443	20	16	17
2444	19	22	09
2445	20	03	56
2446	20	09	45
2447	20	15	32
2448	19	21	27
2449	20	03	17
2450	20	09	05
2451	20	14	59
2452	19	20	47
2453	20	02	30
2454	20	08	15
2455	20	14	01
2456	19	19	50
2457	20	01	34
2458	20	07	18
2459	20	13	09
2460	19	19	04
2461	20	00	56
2462	20	06	49
2463	20	12	44
2464	19	18	34
2465	20	00	22
2466	20	06	10
2467	20	12	01
2468	19	17	53
2469	19	23	35
2470	20	05	19
2471	20	11	07
2472	19	16	55
2473	19	22	44
2474	20	04	33
2475	20	10	22
2476	19	16	15
2477	19	21	58
2478	20	03	46
2479	20	09	40
2480	19	15	29
2481	19	21	17
2482	20	03	06
2483	20	08	56
2484	19	14	55
2485	19	20	45
2486	20	02	33
2487	20	08	27
2488	19	14	11
2489	19	19	54
2490	20	01	41
2491	20	07	26
2492	19	13	17
2493	19	19	01
2494	20	00	41
2495	20	06	38
2496	19	12	28
2497	19	18	18
2498	20	00	14
2499	20	06	03
2500	20	11	59
2501	20	17	48
2502	20	23	31
2503	21	05	29
2504	20	11	15
2505	20	16	56
2506	20	22	47
2507	21	04	31
2508	20	10	26
2509	20	16	16
2510	20	21	58
2511	21	03	53
2512	20	09	39
2513	20	15	19
2514	20	21	13
2515	21	02	59
2516	20	08	51
2517	20	14	42
2518	20	20	23
2519	21	02	23
2520	20	08	18
2521	20	14	03
2522	20	20	01
2523	21	01	48
2524	20	07	35
2525	20	13	26
2526	20	19	04
2527	21	00	58
2528	20	06	45
2529	20	12	20
2530	20	18	13
2531	21	00	01
2532	20	05	52
2533	20	11	49
2534	20	17	32
2535	20	23	28
2536	20	05	21
2537	20	11	01
2538	20	16	58
2539	20	22	48
2540	20	04	37
2541	20	10	27
2542	20	16	08
2543	20	22	02
2544	20	03	58
2545	20	09	37
2546	20	15	30
2547	20	21	18
